자치구,총합,버스출발이동인구합
강남구,225008,61225217
강동구,132512,28653593
강북구,63159,14274417
강서구,179037,30524134
관악구,102647,23262989
광진구,83986,21161212
구로구,123802,21450790
금천구,73726,12184670
노원구,135005,24607545
도봉구,81704,13128969
동대문구,83205,19949638
동작구,95378,19340836
마포구,105818,29585062
서대문구,78737,20236337
서초구,156537,39681056
성동구,92098,20420323
성북구,107048,21032152
송파구,212511,46429059
양천구,132452,18360087
영등포구,122009,32757662
용산구,66594,18332546
은평구,116971,21478052
종로구,42136,24165133
중구,49805,25964373
중랑구,96119,17380610
